"Adult","Sex","Survived","Class"
0,0,1,"upper"
0,1,1,"upper"
0,1,1,"upper"
0,1,1,"upper"
0,1,1,"upper"
0,1,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,1,"upper"
1,0,0,"upper"
1,0,0,"upper"
1,0,0,"upper"
1,0,0,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,1,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
1,1,0,"upper"
0,1,1,"middle"
0,1,1,"middle"
0,1,1,"middle"
0,1,1,"middle"
0,1,1,"middle"
0,1,1,"middle"
0,1,1,"middle"
0,1,1,"middle"
0,1,1,"middle"
0,1,1,"middle"
0,1,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
0,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,1,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,0,0,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,1,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
1,1,0,"middle"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,1,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
0,1,0,"lower"
